scene_id,seed,band,comb_spacing,pfa,num_training_cells,num_guard_cells,range_resolution_m,max_unambiguous_range_m,range_m,density_per_km2,num_drones,prob_detection,false_alarms_per_frame,false_alarm_fraction,rmse_position_error_m,drone_id,x,y,z,vx,vy,vz,true_range_m,true_azimuth_deg,true_radial_velocity_mps,snr_db,sensing_snr_db,ber,throughput_mbps,detected,position_error_m,range_error_m,azimuth_error_deg
r200_d400_t0,2,28,2,5e-07,"(8, 16)","(2, 4)",1.5233356605691057,624.5676208333333,200,400,14,0.0,36.0,1.0,,mc_uas_12,-95.4090170384548,-95.79667204209196,8.557047100221338,7.365728698233369,1.157774236265267,0.0,41.16204815454249,-163.33548576918483,-7.383840803844407,68.3251653456048,-15.870726652388893,0.0,182.5602968460111,False,,,
r200_d400_t0,2,28,2,5e-07,"(8, 16)","(2, 4)",1.5233356605691057,624.5676208333333,200,400,14,0.0,36.0,1.0,,mc_uas_13,-151.16811452390112,-57.87954124321956,16.47190669433283,-0.26829025409830354,-0.4056943522476368,0.0,98.89961559055313,164.65217110642007,0.15101934363188155,6.742812215745834,-1.0379943643978737,0.14573170731707316,0.0,False,,,
r50_d400_t0,0,28,4,5e-09,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,50,400,1,1.0,29.0,0.9666666666666667,0.48287626963387953,mc_uas_0,-66.29782273549291,-84.32665124994195,13.861230648127329,-8.847880390546884,-4.258656813253303,0.0,11.00277038971373,-178.18316307271618,8.407427960534346,90.19299770562212,75.36609907156544,0.0,273.8404452690167,True,0.48287626963387953,0.33942076572999014,1.816836927283858
r50_d400_t0,0,28,4,5e-08,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,50,400,1,1.0,32.0,0.9696969696969697,0.48287626963387953,mc_uas_0,-66.29782273549291,-84.32665124994195,13.861230648127329,-8.847880390546884,-4.258656813253303,0.0,11.00277038971373,-178.18316307271618,8.407427960534346,90.19299770562212,75.36609907156544,0.0,273.8404452690167,True,0.48287626963387953,0.33942076572999014,1.816836927283858
r50_d400_t0,0,28,4,5e-07,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,50,400,1,1.0,34.0,0.9714285714285714,0.48287626963387953,mc_uas_0,-66.29782273549291,-84.32665124994195,13.861230648127329,-8.847880390546884,-4.258656813253303,0.0,11.00277038971373,-178.18316307271618,8.407427960534346,90.19299770562212,75.36609907156544,0.0,273.8404452690167,True,0.48287626963387953,0.33942076572999014,1.816836927283858
r100_d400_t0,1,28,4,5e-09,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,100,400,5,0.4,38.0,0.926829268292683,2.486769605193054,mc_uas_0,-146.75328080733266,-77.5551617751991,15.911339481728053,0.2193628620932205,1.2572127492620646,0.0,91.17366863029406,175.9379633016395,-0.12948219388829657,36.02535400465158,1.313062309371328,0.0,273.8404452690167,False,,,
r100_d400_t0,1,28,4,5e-09,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,100,400,5,0.4,38.0,0.926829268292683,2.486769605193054,mc_uas_1,-107.93605704697376,-121.37549751659385,15.5926850053958,-4.280039900119251,3.643001159311972,0.0,64.23052204185332,-144.25952976498144,1.3409421704058588,53.37348567203293,4.310068441719421,0.0,273.8404452690167,False,,,
r100_d400_t0,1,28,4,5e-09,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,100,400,5,0.4,38.0,0.926829268292683,2.486769605193054,mc_uas_2,-70.67455502175989,-92.00116353331057,17.176922571709127,-6.251144723187854,-4.857483343741923,0.0,18.189815847713938,-151.39898751544936,7.1797475508488375,24.218679485874468,74.175022872618,0.0,273.8404452690167,True,1.495176449666823,1.4331235814537706,1.398987515449347
r100_d400_t0,1,28,4,5e-09,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,100,400,5,0.4,38.0,0.926829268292683,2.486769605193054,mc_uas_3,-125.295161147555,-59.887672379275216,13.003564307368709,-0.9525900078060758,-8.559824911143098,0.0,73.43190791681286,160.81386495030182,-1.9118041259950456,20.840231192311794,-inf,0.0,273.8404452690167,False,,,
r100_d400_t0,1,28,4,5e-09,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,100,400,5,0.4,38.0,0.926829268292683,2.486769605193054,mc_uas_4,-107.16070775580648,-86.92836465591884,15.687717599091664,-1.409179130533591,5.850928166134772,0.0,51.55912595380268,-176.72404723600053,1.065979095068966,36.85931556218402,60.65301786906027,0.0,273.8404452690167,True,3.18315779109138,1.289049155022191,3.2759527639994492
